name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost,listed_in(type)
Eddy's Cafe,Yes,No,4.1,142,Indiranagar,Cafe,"Cafe, American, Salad, Continental, Healthy Food, Italian, Coffee, Desserts",750,Delivery
New Royal Paris Restaurant,No,No,3.4,14,Old Airport Road,Quick Bites,"Chinese, Kerala, North Indian",300,Delivery
McLeans Italian Pizzeria,Yes,No,3.4,30,Ejipura,Delivery,"American, Pizza",500,Delivery
Java,No,No,3.7,39,Old Airport Road,Casual Dining,"North Indian, Chinese",700,Delivery
Simhapuri Mess,No,No,3.8,39,Old Airport Road,Mess,North Indian,300,Delivery
DilliBite,Yes,No,3.5,33,Ulsoor,Quick Bites,"North Indian, Chinese",600,Delivery
Friends Night Kitchen,Yes,No,3.8,110,Koramangala 6th Block,"Takeaway, Delivery","Italian, Pizza",400,Delivery
Kumbakonam Degree Coffee,No,No,3.8,67,Indiranagar,Quick Bites,"South Indian, Fast Food",200,Delivery
Momo Corner,No,No,3.8,22,Old Airport Road,Kiosk,"Fast Food, Momos",150,Delivery
Nandini Andhra Style Mess,No,No,3.4,28,Old Airport Road,Quick Bites,"North Indian, Chinese, South Indian",350,Delivery
Palki Restaurant,No,No,2.8,93,Old Airport Road,Casual Dining,"North Indian, Chinese, Biryani, Mangalorean",500,Delivery
Raaga,Yes,Yes,3.8,300,Indiranagar,Casual Dining,"North Indian, Chinese, Continental",1200,Delivery
Suvaai Restaurant,Yes,No,3.3,11,Indiranagar,Quick Bites,South Indian,100,Delivery
Shree Durga,No,No,3.2,7,Old Airport Road,Quick Bites,"North Indian, Chinese, Seafood",500,Delivery
24 Hours Cake Delivery,No,No,3.3,4,Old Airport Road,Delivery,Bakery,700,Delivery
Nandanavanam,No,No,3.3,6,Old Airport Road,Quick Bites,South Indian,300,Delivery
Juicemaker,No,No,3.4,32,Old Airport Road,"Takeaway, Delivery","Beverages, Fast Food",400,Delivery
Samosa Party,Yes,No,4.1,374,Jeevan Bhima Nagar,Quick Bites,"Street Food, Fast Food",150,Delivery
BabaYaga's,No,Yes,4.0,242,Indiranagar,"Bar, Casual Dining","American, Finger Food",1500,Delivery
Ghar Ka Bhojan,No,No,3.3,7,Domlur,Delivery,"North Indian, Healthy Food",200,Delivery
L'inoui - The Leela Palace,No,No,3.5,9,Old Airport Road,Dessert Parlor,Desserts,400,Delivery
Hello Resto-Pub,Yes,Yes,4.1,348,Old Airport Road,"Casual Dining, Pub",Continental,900,Delivery
Mac Fast Food,No,No,2.7,50,Old Airport Road,Quick Bites,"Fast Food, Chinese",400,Delivery
Bake a Smile,No,No,3.4,9,Old Airport Road,"Takeaway, Delivery","Bakery, Desserts",400,Delivery
SLV Andhra Mess,Yes,No,3.5,6,Domlur,Quick Bites,"Chinese, North Indian",200,Delivery
NH8,Yes,Yes,4.1,2099,Indiranagar,Casual Dining,Rajasthani,800,Delivery
Chungs Pavilion,Yes,No,3.9,249,Indiranagar,Casual Dining,Chinese,700,Delivery
Venus Bake Point,Yes,No,3.5,6,Old Airport Road,Bakery,Bakery,500,Delivery
House Of Seitan,Yes,No,4.0,38,Indiranagar,Cafe,"Healthy Food, Burger, Beverages, Cafe, Sandwich, Salad",700,Delivery
Raenss Cafe,Yes,No,2.4,128,Indiranagar,Cafe,"Cafe, Fast Food",600,Delivery
Momscurry,Yes,No,2.7,19,East Bangalore,Delivery,North Indian,300,Delivery
FTB Restaurant,Yes,No,3.6,19,Thippasandra,"Takeaway, Delivery","North Indian, Bengali, Chinese, Seafood",500,Delivery
The Teal Door Cafe,Yes,No,4.2,1920,Indiranagar,Cafe,"Cafe, Continental",800,Delivery
Grow Fit,Yes,No,3.9,113,Indiranagar,Delivery,"Healthy Food, North Indian, Thai",500,Delivery
Jiyan Swadista,Yes,No,3.4,10,Marathahalli,Quick Bites,"Chinese, Kebab, North Indian",300,Delivery
Homemade Food,Yes,No,3.8,24,Indiranagar,Takeaway,South Indian,200,Delivery
The Humming Tree,No,No,4.0,2432,Indiranagar,Lounge,"Fast Food, European",2000,Delivery
Ambur Biriyani,No,No,3.2,4,Old Airport Road,Quick Bites,Biryani,200,Delivery
Dine @ 9 Paratha Corner,No,No,3.6,33,Indiranagar,Quick Bites,"North Indian, Chinese",300,Delivery
Paisa Vasool,Yes,No,3.3,8,Domlur,Quick Bites,North Indian,400,Delivery
Cup Shup,No,No,2.8,185,Indiranagar,Cafe,"Cafe, Continental, Fast Food",500,Delivery
Achayyan's,Yes,No,3.8,410,Indiranagar,Quick Bites,"Kerala, South Indian",350,Delivery
Kadai Crust - Amma Veetu Samayal,No,No,3.8,263,Indiranagar,"Takeaway, Delivery","Chettinad, South Indian, Biryani",700,Delivery
The Ants Cafe & Store,Yes,Yes,3.9,1387,Indiranagar,Cafe,"Cafe, Italian, Fast Food",800,Delivery
Gundappa Donne Biryani,No,No,2.6,91,Indiranagar,Quick Bites,Biryani,300,Delivery
Namdhari's Salad Bar,No,No,3.9,82,Indiranagar,Quick Bites,"Salad, Fast Food",400,Delivery
The Rolling Pin,No,No,4.1,76,Indiranagar,"Bakery, Dessert Parlor","Bakery, Desserts",400,Delivery
AhimsaAmrit Green Cafe,No,Yes,3.7,19,Indiranagar,Casual Dining,"Healthy Food, Salad, Continental",800,Delivery
Chai Cafe,No,No,3.9,49,Indiranagar,Cafe,Cafe,200,Delivery
La Madeleine Patisserie,No,No,3.9,71,Indiranagar,"Takeaway, Delivery",Bakery,200,Delivery
Rudra Tiffin Service,No,No,3.3,4,Domlur,"Takeaway, Delivery",North Indian,250,Delivery
Jiyo Natural,No,No,3.6,15,South Bangalore,Delivery,"Healthy Food, North Indian",300,Delivery
KrumbKraft,No,No,3.5,6,Domlur,Bakery,"Bakery, European",300,Delivery
Melting Spot,No,No,4.0,134,Indiranagar,"Cafe, Dessert Parlor","Cafe, Desserts, Beverages, Italian",600,Delivery
Neffy's - Cakes & More,No,No,3.5,24,Indiranagar,Bakery,Bakery,300,Delivery
Yum Tum,No,No,3.4,7,Domlur,Quick Bites,"Salad, Greek, Mediterranean",250,Delivery
Fudgy Love Designer Cakes,No,No,3.7,20,Domlur,"Bakery, Dessert Parlor","Bakery, Desserts",600,Delivery
Cafe Velvette,No,No,3.4,11,Domlur,"Cafe, Dessert Parlor","Cafe, American, Italian, Continental",400,Delivery
Celeste's Kitchen,No,No,3.3,5,Domlur,Delivery,"Chinese, Fast Food, North Indian",400,Delivery
Taantraa - Organic Handbaking,No,No,3.7,28,Indiranagar,Delivery,"Bakery, Desserts",350,Delivery
Cross Roads Cafe,No,No,3.0,59,Indiranagar,Cafe,"Cafe, Italian, Tex-Mex, Fast Food, Burger",500,Delivery
Smoodies,Yes,No,3.7,22,Old Airport Road,Beverage Shop,Juices,300,Delivery
Cinnamon's Kitchen,Yes,No,3.7,25,Old Airport Road,Quick Bites,"North Indian, South Indian, Fast Food",300,Delivery
Mayo N Burger,Yes,No,3.2,4,Indiranagar,Quick Bites,American,250,Delivery
Mukati Kitchen,Yes,No,3.7,133,Thippasandra,Quick Bites,"North Indian, Continental, Chinese, Italian",500,Delivery
Soup Station,Yes,No,3.9,112,Domlur,Delivery,"Healthy Food, Sandwich, Salad",150,Delivery
The Parotta Master,Yes,No,2.9,43,Jeevan Bhima Nagar,Delivery,South Indian,400,Delivery
Byblos,Yes,Yes,4.2,1352,Indiranagar,Casual Dining,"Lebanese, Arabian, Middle Eastern, Salad, Beverages",1700,Delivery
Cream Factory,Yes,No,3.9,54,Kaggadasapura,Dessert Parlor,Desserts,400,Delivery
Picante,Yes,No,3.6,23,Indiranagar,Delivery,"Sandwich, Fast Food",400,Delivery
Lono,No,Yes,4.2,241,Indiranagar,"Lounge, Casual Dining","Continental, Modern Indian",1500,Delivery
Loveshack,No,Yes,4.0,1806,Domlur,"Lounge, Cafe","Continental, Pizza, North Indian, Goan, Cafe",1600,Delivery
The French Loaf,Yes,No,3.5,137,Indiranagar,"Bakery, Quick Bites","Bakery, Desserts, Sandwich",400,Delivery
Cafe Idly,Yes,No,2.9,35,Jeevan Bhima Nagar,Quick Bites,"South Indian, Fast Food",200,Delivery
Bottle & Glass,No,Yes,4.0,984,Indiranagar,"Bar, Casual Dining","Continental, Chinese, Italian",1400,Delivery
Tandoori Taal,Yes,Yes,4.3,1799,Indiranagar,Casual Dining,"Biryani, North Indian",900,Delivery
Knight Riders,No,No,2.4,25,Domlur,Bar,"Chinese, European",1000,Delivery
TFC - Tony's Food Corner,Yes,No,3.1,23,"ITPL Main Road, Whitefield",Quick Bites,"North Indian, Chinese",400,Delivery
Just Bake,Yes,No,2.7,23,Old Airport Road,Bakery,Bakery,400,Delivery
Magic Box,Yes,No,3.3,21,Indiranagar,"Takeaway, Delivery","South Indian, North Indian, Chinese",300,Delivery
Bhartiya Jalpan,No,No,4.1,1098,Indiranagar,Casual Dining,"North Indian, Street Food",700,Delivery
Nandhana Palace,No,Yes,4.2,956,Indiranagar,"Casual Dining, Bar","Andhra, Biryani, North Indian, Chinese",800,Delivery
Sanchez Taqueria & Cantina,No,No,4.3,82,Indiranagar,Casual Dining,"Mexican, Tex-Mex",800,Delivery
Aaha Andhra,No,No,4.2,820,Indiranagar,Casual Dining,"Andhra, Biryani, North Indian",900,Delivery
Eat Well,Yes,No,3.5,33,Indiranagar,Quick Bites,"North Indian, Chinese",400,Delivery
Forage,No,Yes,4.2,215,Indiranagar,Casual Dining,"Healthy Food, Beverages, European, Salad",1500,Delivery
Anjappar,No,No,3.8,777,Indiranagar,Casual Dining,"Chettinad, South Indian",650,Delivery
Waffle Magic,No,No,4.2,592,Indiranagar,Cafe,"Cafe, Desserts",700,Delivery
Fai Dang,No,No,3.3,33,Indiranagar,Casual Dining,"Asian, Continental",1100,Delivery
Talk Over Table,No,No,4.0,287,Jeevan Bhima Nagar,Cafe,Cafe,500,Delivery
Chefkraft,No,No,3.9,146,Indiranagar,"Takeaway, Delivery","Continental, Fast Food, Salad",800,Delivery
New Punjabi Hotel,No,No,3.7,125,Indiranagar,Quick Bites,"North Indian, Chinese",300,Delivery
Nandhini Paradise,No,Yes,3.7,289,Indiranagar,Casual Dining,North Indian,600,Delivery
Santrupthi Khanavalli,No,No,3.4,4,CV Raman Nagar,Quick Bites,South Indian,200,Delivery
The ThickShake Factory,No,No,4.0,124,Indiranagar,Beverage Shop,"Beverages, Juices",350,Delivery
Kasol Cafe,No,No,3.7,20,Indiranagar,Quick Bites,"Bengali, Continental",400,Delivery
D'Cafe,Yes,No,3.8,18,Domlur,Cafe,"Cafe, Coffee, Continental",500,Delivery
Lakeview Milkbar,No,No,2.9,544,Indiranagar,"Dessert Parlor, Cafe","Fast Food, Desserts, Cafe",600,Delivery
California Burrito,No,No,4.1,343,Domlur,"Food Court, Quick Bites","Mexican, Fast Food",400,Delivery
Madurai Idly Shop,No,No,3.8,731,Indiranagar,Quick Bites,South Indian,200,Delivery
Anju's Cafe,No,No,3.4,6,Indiranagar,Quick Bites,"Fast Food, North Indian, Continental",400,Delivery
Tandoori Club,Yes,No,3.5,6,Domlur,Delivery,"North Indian, Chinese, Biryani",400,Delivery
Liveat,No,No,3.7,35,Indiranagar,Delivery,"Healthy Food, Mexican, Asian, Continental",500,Delivery
J's Cafe,No,No,3.9,155,Indiranagar,Cafe,"Cafe, Continental",700,Delivery
Jaishree Pavilion,No,No,3.7,36,Thippasandra,Casual Dining,"North Indian, South Indian, Chinese",700,Delivery
Nami's Global Kitchen,No,No,3.3,6,Indiranagar,"Takeaway, Delivery","Italian, North Indian, Mexican, Chinese",240,Delivery
Calcutta Victoria Chat House,No,No,3.6,219,Jeevan Bhima Nagar,Quick Bites,Street Food,150,Delivery
Flavors of India,No,No,3.5,6,Domlur,Casual Dining,"North Indian, South Indian, Andhra, Mughlai",600,Delivery
Bengaluru House,No,No,3.7,45,Jeevan Bhima Nagar,Casual Dining,South Indian,500,Delivery
Frootality,No,No,4.0,215,Indiranagar,"Beverage Shop, Quick Bites","Healthy Food, Beverages",400,Delivery
Fazzito Kitchen,No,No,3.8,210,Thippasandra,Casual Dining,North Indian,700,Delivery
Tempteys,Yes,No,4.1,135,Indiranagar,"Dessert Parlor, Beverage Shop","Desserts, Beverages",400,Delivery
Walnut Kitchen,No,No,3.0,10,Domlur,Quick Bites,"North Indian, Biryani, Chinese",500,Delivery
Sbarro,No,No,3.4,16,Domlur,Quick Bites,Pizza,500,Delivery
New Shanthi Sagar,No,No,2.8,119,Domlur,Casual Dining,"North Indian, South Indian, Chinese, Fast Food, Beverages, Desserts, Street Food",450,Delivery
SKY FOG,No,No,3.1,6,Thippasandra,"Dessert Parlor, Quick Bites","Desserts, Ice Cream, Fast Food",300,Delivery
Allahabadi Tadaka,No,No,3.0,47,Domlur,Casual Dining,North Indian,250,Delivery
Avanti Indian Barbeque & Grill,No,No,3.4,46,Domlur,Casual Dining,North Indian,1100,Delivery
Angel Mutton Leg Soup,No,No,3.5,25,Jeevan Bhima Nagar,Quick Bites,South Indian,200,Delivery
Choco Allure,No,No,3.4,5,Indiranagar,"Takeaway, Delivery",Desserts,300,Delivery
Biryani Club,No,No,2.9,31,Jeevan Bhima Nagar,Quick Bites,"South Indian, Biryani",400,Delivery
Kanti's,No,No,3.1,64,Thippasandra,Sweet Shop,"Mithai, Street Food",300,Delivery
Bhikaram Chandmal Bhujiawala,No,No,3.7,70,Jeevan Bhima Nagar,Quick Bites,"North Indian, Mithai",200,Delivery
Bangalore Grill House,No,No,3.2,6,Thippasandra,Quick Bites,"Arabian, BBQ, Mexican",300,Delivery
Cafe Oleiva,No,No,3.4,6,Thippasandra,Cafe,Cafe,500,Delivery
Indian Spicy Food,No,No,3.2,4,Old Madras Road,Quick Bites,"North Indian, South Indian",200,Delivery
Taste Of Nawaab's,No,No,3.6,22,Domlur,Casual Dining,"North Indian, Chinese",600,Delivery
New Khaayaal's Restaurant,No,No,3.0,106,CV Raman Nagar,Quick Bites,"North Indian, Chinese, Rolls",500,Delivery
La Mirch,No,No,3.2,5,Indiranagar,Delivery,"North Indian, Kashmiri",400,Delivery
Ambur Hot Dum Biriyani,No,No,3.1,6,Jeevan Bhima Nagar,Quick Bites,Biryani,200,Delivery
C-harge by Chefkraft,No,No,3.4,7,Indiranagar,Cafe,"Cafe, Continental",600,Delivery
The Tower Of Pizza,No,No,2.8,68,Jeevan Bhima Nagar,"Takeaway, Delivery","Pizza, Italian",500,Delivery
Night Panda,No,No,3.5,12,Jeevan Bhima Nagar,"Takeaway, Delivery","Fast Food, North Indian, Chinese",500,Delivery
White Olives,No,No,3.4,32,Thippasandra,Delivery,"Chinese, North Indian",300,Delivery
Cream and Bakes,No,No,3.5,14,Domlur,Dessert Parlor,Desserts,100,Delivery
Late Night,No,No,2.8,43,Domlur,Delivery,"North Indian, Chinese",500,Delivery
Banarasi Tadka,No,No,2.7,16,Jeevan Bhima Nagar,Quick Bites,North Indian,200,Delivery
Bombay Kulfis,No,No,3.3,4,Jeevan Bhima Nagar,Dessert Parlor,Ice Cream,200,Delivery
Eggzotic,No,No,3.9,391,Domlur,Quick Bites,"North Indian, Chinese, Biryani, Fast Food",500,Delivery
Kerala Vibes,No,No,3.6,80,Jeevan Bhima Nagar,Casual Dining,Kerala,500,Delivery
Urban Treat,No,No,3.3,10,CV Raman Nagar,Quick Bites,"South Indian, North Indian, Street Food",250,Delivery
Crispy Crust Pizza,Yes,No,3.1,45,Indiranagar,Delivery,Pizza,450,Delivery
Breadworks,Yes,No,2.9,48,Indiranagar,"Bakery, Cafe","Bakery, Cafe",500,Delivery
Peppers,Yes,No,2.8,94,Ejipura,Quick Bites,"North Indian, Chinese",300,Delivery
Ambur Hot Dum Biryani,No,No,3.1,7,Ulsoor,Quick Bites,Biryani,300,Delivery
Bowlful,Yes,No,3.6,12,Domlur,"Takeaway, Delivery",North Indian,500,Delivery
Cilantro,Yes,Yes,4.0,284,Koramangala 4th Block,"Casual Dining, Bar","European, American, Continental, North Indian, Steak",1500,Delivery
Chinese Fire Dragon,No,No,3.4,25,Domlur,Casual Dining,"Chinese, North Indian, Momos",550,Delivery
Southease,Yes,No,3.5,7,Jeevan Bhima Nagar,Delivery,South Indian,400,Delivery
Vinny's,Yes,No,4.1,367,Domlur,Casual Dining,"Burger, Desserts, Italian, Pizza, Salad",600,Delivery
Le Gateau - The Cake Shop,Yes,No,4.4,542,Old Airport Road,Delivery,"Desserts, Bakery",600,Desserts
Sweet Truth,Yes,No,4.3,26,Old Airport Road,Delivery,"Bakery, Desserts",500,Desserts
Anand Sweets and Savouries,Yes,No,4.0,262,Old Airport Road,Sweet Shop,"Mithai, Fast Food",400,Desserts
Kanti Sweets,Yes,No,4.1,102,Old Airport Road,Sweet Shop,"Mithai, Street Food",400,Desserts
CakeBerries,No,No,3.7,15,Old Airport Road,Bakery,"Bakery, Desserts",200,Desserts
The Leela Cake Shop - The Leela Palace,No,No,3.9,72,Old Airport Road,Dessert Parlor,"Desserts, Bakery",1200,Desserts
Book My Cakes,Yes,No,3.3,4,Old Airport Road,Bakery,Bakery,300,Desserts
Baskin Robbins,Yes,No,3.7,47,Old Airport Road,Dessert Parlor,"Ice Cream, Desserts",250,Desserts
Brown Crust Cafe,No,No,3.2,19,Old Airport Road,Cafe,"Cafe, Italian, Desserts",300,Desserts
The Chocolate Heaven,Yes,No,3.8,139,Old Airport Road,"Dessert Parlor, Cafe","Desserts, Cafe, Italian, Beverages",700,Desserts
The Cake Post,No,No,3.4,12,Old Airport Road,Bakery,"Bakery, Desserts",900,Desserts
4 Mangoes,No,No,3.7,16,Old Airport Road,Kiosk,Ice Cream,200,Desserts
Just Bake,Yes,No,2.7,23,Old Airport Road,Bakery,Bakery,400,Desserts
Venus Bake Point,Yes,No,3.5,6,Old Airport Road,Bakery,Bakery,500,Desserts
The Cake Mart,Yes,No,3.7,22,Old Airport Road,Bakery,"Bakery, Desserts",600,Desserts
Juicy,Yes,No,3.8,80,Old Airport Road,Beverage Shop,"Beverages, Juices, Fast Food",200,Desserts
24 Hours Cake Delivery,No,No,3.3,4,Old Airport Road,Delivery,Bakery,700,Desserts
Daily Bread,No,No,3.2,29,Old Airport Road,"Bakery, Quick Bites","Bakery, Fast Food, Italian",600,Desserts
Bake a Smile,No,No,3.4,9,Old Airport Road,"Takeaway, Delivery","Bakery, Desserts",400,Desserts
Amma's Pastries,No,No,4.0,120,Thippasandra,Dessert Parlor,"Bakery, Desserts",400,Desserts
Gooey & Fluffy,Yes,No,3.9,90,Thippasandra,Delivery,"Desserts, Bakery",200,Desserts
Tango Bango,Yes,No,3.5,124,Jeevan Bhima Nagar,"Takeaway, Delivery","Burger, American, Beverages, Desserts, Italian, Salad, Ice Cream, Finger Food",500,Desserts
Laddoos,Yes,No,2.9,228,Jeevan Bhima Nagar,"Quick Bites, Dessert Parlor","North Indian, Street Food, Mithai",250,Desserts
Nutty Squirrel,Yes,No,3.6,12,Thippasandra,"Takeaway, Delivery","Ice Cream, Desserts",300,Desserts
Brea,Yes,No,3.4,34,Jeevan Bhima Nagar,Bakery,"Bakery, Fast Food",300,Desserts
Sweet Chariot,Yes,No,3.5,25,Jeevan Bhima Nagar,Dessert Parlor,"Bakery, Fast Food",500,Desserts
SKY FOG,No,No,3.1,6,Thippasandra,"Dessert Parlor, Quick Bites","Desserts, Ice Cream, Fast Food",300,Desserts
Amrutha Sweets,No,No,3.7,38,Thippasandra,Quick Bites,"Street Food, Mithai",200,Desserts
Shanthi Sweets & Bakery,No,No,3.4,9,Thippasandra,"Sweet Shop, Quick Bites","Mithai, Street Food",200,Desserts
Delicious Ice Cream Parlour,No,No,3.2,6,Jeevan Bhima Nagar,Dessert Parlor,"Ice Cream, Desserts",300,Desserts
Kanti's,No,No,3.1,64,Thippasandra,Sweet Shop,"Mithai, Street Food",300,Desserts
Bhikaram Chandmal Bhujiawala,No,No,3.7,70,Jeevan Bhima Nagar,Quick Bites,"North Indian, Mithai",200,Desserts
Cafe Oleiva,No,No,3.4,6,Thippasandra,Cafe,Cafe,500,Desserts
Chill Out,No,No,3.4,9,Thippasandra,Beverage Shop,"Juices, Desserts",150,Desserts
The Pizza Bakery,Yes,Yes,4.8,1785,Indiranagar,Casual Dining,"Italian, Pizza, Beverages",1200,Desserts
Corner House Ice Cream,Yes,No,4.7,2174,Indiranagar,Dessert Parlor,"Ice Cream, Desserts",400,Desserts
Lavonne,No,No,4.4,1132,Indiranagar,"Cafe, Dessert Parlor","Cafe, Desserts",800,Desserts
Smoor,Yes,No,4.6,1732,Indiranagar,"Dessert Parlor, Cafe","Desserts, Cafe, Beverages",900,Desserts
Lazy Suzy,Yes,Yes,4.3,1258,Indiranagar,"Cafe, Bakery","Cafe, Continental, Beverages, Burger, Desserts, Pizza, Bakery, European",1000,Desserts
Natural Ice Cream,No,No,4.6,945,Indiranagar,Dessert Parlor,"Ice Cream, Beverages",200,Desserts
Waffle Magic,No,No,4.2,592,Indiranagar,Cafe,"Cafe, Desserts",700,Desserts
XO Belgian Waffle,Yes,No,4.4,96,Indiranagar,Dessert Parlor,"Desserts, Beverages",400,Desserts
GMT - Gelateria Montecatini Terme,Yes,No,4.4,282,Indiranagar,Dessert Parlor,"Desserts, Ice Cream",300,Desserts
Keventers,Yes,No,4.0,571,Indiranagar,"Beverage Shop, Dessert Parlor","Beverages, Desserts, Ice Cream",400,Desserts
Mama Mia!,Yes,No,4.3,429,Indiranagar,"Dessert Parlor, Cafe","Desserts, Cafe",400,Desserts
Gobble Up Churros Cafe,Yes,No,4.3,379,Indiranagar,Dessert Parlor,"Street Food, Continental, Mexican, Beverages, Cafe, Desserts, Spanish",400,Desserts
Bite Me Cupcakes,Yes,No,4.2,631,Indiranagar,Dessert Parlor,Desserts,300,Desserts
Brownie Heaven,Yes,No,4.3,132,Indiranagar,Dessert Parlor,Desserts,300,Desserts
Chantilly,Yes,No,4.1,124,Indiranagar,"Cafe, Bakery","Cafe, Bakery",450,Desserts
Django,Yes,Yes,4.0,220,Indiranagar,Quick Bites,"Beverages, Italian, Pizza, Burger",800,Desserts
eat.fit,Yes,Yes,3.9,42,Indiranagar,Quick Bites,"Healthy Food, North Indian, Biryani, Continental, Desserts",300,Desserts
Tuffreys,Yes,No,3.6,25,CV Raman Nagar,Dessert Parlor,"Desserts, Ice Cream",250,Desserts
The Waffles Hut,Yes,No,4.0,42,Indiranagar,Dessert Parlor,Desserts,400,Desserts
Warm Oven,Yes,No,4.3,895,Domlur,Delivery,"Bakery, Desserts",500,Desserts
Namdhari's Salad Bar,No,No,3.9,82,Indiranagar,Quick Bites,"Salad, Fast Food",400,Desserts
The Rolling Pin,No,No,4.1,76,Indiranagar,"Bakery, Dessert Parlor","Bakery, Desserts",400,Desserts
The Ganache Factory,Yes,No,4.1,42,Domlur,"Dessert Parlor, Bakery","Desserts, Bakery",400,Desserts
Salt Mango Tree,Yes,Yes,4.2,255,Indiranagar,Casual Dining,Kerala,800,Desserts
Grubhouse,Yes,No,4.1,338,Indiranagar,"Casual Dining, Cafe","Cafe, Continental",800,Desserts
Eddy's Cafe,Yes,No,4.1,142,Indiranagar,Cafe,"Cafe, American, Salad, Continental, Healthy Food, Italian, Coffee, Desserts",750,Desserts
Cream Stone,Yes,No,4.2,743,Indiranagar,Dessert Parlor,"Desserts, Beverages",300,Desserts
Lahe Lahe Santhe,No,No,3.8,20,Indiranagar,Cafe,"Cafe, Beverages",300,Desserts
Roll Over,Yes,No,4.2,217,Indiranagar,Dessert Parlor,"Ice Cream, Beverages, Fast Food",500,Desserts
Krispy Kreme,Yes,No,4.1,261,Indiranagar,Dessert Parlor,"Desserts, Beverages",300,Desserts
Lakeview Milkbar,No,No,2.9,544,Indiranagar,"Dessert Parlor, Cafe","Fast Food, Desserts, Cafe",600,Desserts
Madhu Iyengars Bakery,No,No,3.6,19,Domlur,Bakery,Bakery,400,Desserts
The Belgian Waffle Co.,Yes,No,4.0,74,Indiranagar,Dessert Parlor,"Desserts, Beverages",350,Desserts
Premium Bombay Kulfi,Yes,No,3.5,11,Indiranagar,Kiosk,Ice Cream,100,Desserts
The French Loaf,Yes,No,3.5,137,Indiranagar,"Bakery, Quick Bites","Bakery, Desserts, Sandwich",400,Desserts
All Shook Up!,Yes,No,3.9,77,Domlur,"Dessert Parlor, Beverage Shop","Desserts, Beverages",300,Desserts
Under The Tree,Yes,No,3.0,64,Domlur,Dessert Parlor,"Desserts, Juices, Fast Food",200,Desserts
Troll,Yes,No,3.8,103,Indiranagar,Dessert Parlor,"Desserts, Ice Cream",300,Desserts
Chai Cafe,No,No,3.9,49,Indiranagar,Cafe,Cafe,200,Desserts
La Madeleine Patisserie,No,No,3.9,71,Indiranagar,"Takeaway, Delivery",Bakery,200,Desserts
Wats Ur Scoop?,Yes,No,4.0,56,Indiranagar,Dessert Parlor,"Desserts, Ice Cream",300,Desserts
Just Kulfi,Yes,No,3.5,8,Jeevan Bhima Nagar,Dessert Parlor,"Ice Cream, Fast Food",400,Desserts
Tempteys,Yes,No,4.1,135,Indiranagar,"Dessert Parlor, Beverage Shop","Desserts, Beverages",300,Desserts
Breadworks,Yes,No,2.9,48,Indiranagar,"Bakery, Cafe","Bakery, Cafe",500,Desserts
New Udupi Fresh Juice Centre,No,No,3.4,9,CV Raman Nagar,Quick Bites,"Juices, Desserts, Fast Food",200,Desserts
New Shanthi Sagar,No,No,2.8,119,Domlur,Casual Dining,"North Indian, South Indian, Chinese, Fast Food, Beverages, Desserts, Street Food",450,Desserts
KrumbKraft,No,No,3.5,6,Domlur,Bakery,"Bakery, European",300,Desserts
Melting Spot,No,No,4.0,134,Indiranagar,"Cafe, Dessert Parlor","Cafe, Desserts, Beverages, Italian",600,Desserts
Neffy's - Cakes & More,No,No,3.5,24,Indiranagar,Bakery,Bakery,300,Desserts
Choco Allure,No,No,3.4,5,Indiranagar,"Takeaway, Delivery",Desserts,300,Desserts
Fudgy Love Designer Cakes,No,No,3.7,20,Domlur,"Bakery, Dessert Parlor","Bakery, Desserts",600,Desserts
Cafe Velvette,No,No,3.5,11,Domlur,"Cafe, Dessert Parlor","Cafe, American, Italian, Continental",400,Desserts
Cream and Bakes,No,No,3.5,14,Domlur,Dessert Parlor,Desserts,100,Desserts
Bombay Kulfis,No,No,3.3,4,Jeevan Bhima Nagar,Dessert Parlor,Ice Cream,200,Desserts
Taantraa - Organic Handbaking,No,No,3.7,28,Indiranagar,Delivery,"Bakery, Desserts",350,Desserts
Big Pitcher,No,Yes,4.6,9300,Old Airport Road,"Pub, Microbrewery","American, Continental, North Indian, Mediterranean",1800,Dine-out
Citrus - The Leela Palace,No,Yes,4.2,597,Old Airport Road,Fine Dining,"North Indian, Italian, Asian, Continental, Mediterranean",3500,Dine-out
Jamavar - The Leela Palace,No,Yes,4.2,522,Old Airport Road,Fine Dining,"North Indian, South Indian",4000,Dine-out
Zaitoon,Yes,Yes,4.3,2037,Old Airport Road,Casual Dining,"BBQ, Arabian, Chinese, North Indian, Desserts",1000,Dine-out
CloudNYN - Sterling Mac Hotel,No,No,4.0,417,Old Airport Road,Bar,Finger Food,1000,Dine-out
Limelight - Royal Orchid Hotel,No,Yes,3.9,428,Old Airport Road,Fine Dining,"Continental, North Indian",2200,Dine-out
20 Char - Sterlings MAC Hotel,No,Yes,4.0,427,Old Airport Road,"Casual Dining, Bar","Chinese, Continental, North Indian, South Indian, Arabian",1400,Dine-out
Tiger Trail - Royal Orchid Hotel,No,Yes,4.1,312,Old Airport Road,Fine Dining,North Indian,2000,Dine-out
Hyderabad Biryaani House,Yes,No,3.9,1627,Old Airport Road,Casual Dining,"Biryani, North Indian, Chinese",700,Dine-out
Le Cirque Signature - The Leela Palace,No,Yes,4.3,128,Old Airport Road,Fine Dining,"French, Italian",6000,Dine-out
